,District,Neighborhood,Furnished,Available for Loan,Elevator,Household appliances,Air conditioning,Terrace,Washing Machine,Laundry room,Closed Garage,Parking Lot,Kitchen,Next to sea shore,Hospital,High school,Market,Police station,Gym,Primary School-Secondary School,Highway,Airport,Metro,Bus stop,Sea,City,Top floor,Ground floor,sqrt_m2,totalrooms,buildingage,floorloc,numberoffloors,bathroom_count,has_balcony,heating_grouped,distgrouped,price_updated,district_encoded,price_per_m2,security_features,water_features,cephe_yonu,toplam_cephe,sanitasyon_score,banyo_durumu,havuz_tipi,havuz_var,luxury_pool_score,is_smart_home,luxury_score,smart_home_impact
2630,Güngören,Gençosman Mh.,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.746794344808963,3.0,18.0,2.0,4,1,1.0,natural_gas,Güngören,5700000.0,405051.7975334018,60000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2631,Pendik,Sapan Bağları Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.135528725660045,4.0,0.0,6.0,8,2,1.0,natural_gas,Pendik,9300000.0,395494.32960199006,75000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2632,Küçükçekmece,İnönü Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.899494936611664,2.0,2.0,3.0,10,1,1.0,other,Küçükçekmece,10300000.0,449917.38307349663,105102.04081632652,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2633,Üsküdar,Valide-i Atik Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.643650760992957,3.0,35.0,3.0,5,1,1.0,absent,Üsküdar,8910000.0,1026801.4897959183,95806.45161290324,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2634,Şile,Ahmetli Köyü,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,7.5,4.0,4,2,1.0,natural_gas,Other,4580000.0,381696.10954063607,45800.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2635,Şile,Balibey Mah.,No,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,4.0,7.5,0.0,1,1,1.0,natural_gas,Other,6700000.0,381696.10954063607,60909.09090909091,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2636,Şişli,Yayla Mah.,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,2.0,6,1,0.0,natural_gas,Şişli,6200000.0,926286.5709908068,62000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2637,Arnavutköy,Arnavutköy Merkez Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.746794344808963,3.0,0.0,0.5,5,1,1.0,natural_gas,Arnavutköy,3100000.0,298698.1409736308,32631.57894736842,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2638,Arnavutköy,Atatürk Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,3.0,5,1,1.0,natural_gas,Arnavutköy,7000000.0,298698.1409736308,70000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2639,Arnavutköy,Hadımköy Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,1.0,4,2,1.0,natural_gas,Arnavutköy,6000000.0,298698.1409736308,60000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2640,Arnavutköy,Haraççı Mh.,No,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,2.0,30,1,1.0,natural_gas,Arnavutköy,4200000.0,298698.1409736308,42000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2641,Arnavutköy,Haraççı Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.246950765959598,3.0,0.0,2.0,4,1,1.0,natural_gas,Arnavutköy,5300000.0,298698.1409736308,50476.19047619047,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2642,Arnavutköy,Haraççı Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3440804327886,3.0,0.0,1.0,4,1,1.0,natural_gas,Arnavutköy,5100000.0,298698.1409736308,47663.55140186916,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
